,vol_dHP,vol_dBP,vol_dEE,vol_resid,ac1_resid,coup_dHP_dEE,coup_dBP_dEE,coup_dHP_dresid
2025-03-26 17:15:00,0.3260190000000023,0.5706349,0.10358489999999776,0.10624455764143903,0.5665164082817821,0.18172453029456168,-0.6400276970918696,-0.11259538814595228
2025-03-26 17:30:00,0.3260190000000023,0.5557341499999993,0.10358489999999776,0.10678347038435732,0.5769102317324662,0.2460095595720533,-0.6294586600621943,-0.14116010921458205
2025-03-26 17:45:00,0.3260190000000023,0.5557341499999993,0.10227084999999647,0.10678347038435732,0.5778707869961768,0.24764182511182742,-0.6351470224340258,-0.14281656858134814
2025-03-26 18:00:00,0.3238814999999846,0.5569390999999992,0.10358489999999776,0.10678347038435732,0.5690877911764449,0.2894635446356372,-0.619906992529208,-0.09508685918700262
2025-03-26 18:15:00,0.3260190000000023,0.5569390999999992,0.10282610000000147,0.10678347038435732,0.5515863202136446,0.2921861586296703,-0.6108074858350528,-0.07656411287241628
2025-03-26 18:30:00,0.3238814999999846,0.5391679000000007,0.10968520000000126,0.10691649384374102,0.5517561891564883,0.29374038454033147,-0.6090706025598909,-0.07373035498229788
2025-03-26 18:45:00,0.3206769999999892,0.5462456500000012,0.10993429999999904,0.10799319189904466,0.5533205660213822,0.2938632521760254,-0.604806411868348,-0.06775891337730881
2025-03-26 19:00:00,0.32469799999999793,0.5462456500000012,0.11405629999999789,0.1085857350661037,0.5595556710088491,0.29004139728557243,-0.5991318105182944,-0.0700457901534741
2025-03-26 19:15:00,0.31820649999998807,0.5462456500000012,0.10631060000000048,0.11102340982598946,0.5643959033948223,0.29426920398355216,-0.6000977011861669,-0.06456639577854972
2025-03-26 19:30:00,0.3206769999999892,0.5462456500000012,0.10282610000000147,0.11102340982598946,0.5757370217065308,0.29571426012089647,-0.5996841547546116,-0.06781390226982437
2025-03-26 19:45:00,0.33135199999999543,0.5462456500000012,0.10358489999999776,0.10799319189904466,0.5788603087900425,0.2951117760114811,-0.6007567533307585,-0.07147284715482477
2025-03-26 20:00:00,0.3291775000000001,0.5391679000000007,0.10358489999999776,0.1117489764524322,0.5824336875323992,0.28674317261575866,-0.5950327918366182,-0.059278504496426465
2025-03-26 20:15:00,0.3196334999999948,0.5355585500000011,0.11286834999999584,0.11301460394383867,0.5937260991852217,0.4370873007997341,-0.49513113407677994,-0.08001082107968382
2025-03-26 20:30:00,0.3140044999999958,0.5543475499999992,0.11539264999999688,0.1117489764524322,0.6000254873228427,0.43641214123973876,-0.494311182471366,-0.06426905020870186
2025-03-26 20:45:00,0.3235485000000011,0.5347043000000031,0.11586239999999748,0.1117489764524322,0.6095188073722151,0.42903240557564704,-0.4967945975270805,-0.09757521192204462
2025-03-26 21:00:00,0.3196334999999948,0.5355585500000011,0.11630024999999478,0.1085857350661037,0.6242236585861299,0.4316669976108576,-0.4957724319600224,-0.12100062393045669
2025-03-26 21:15:00,0.3140044999999958,0.5355585500000011,0.11630024999999478,0.1085857350661037,0.6198134340874512,0.42734621012083823,-0.5006851525977515,-0.13139442566509135
2025-03-26 21:30:00,0.3140044999999958,0.5298519999999982,0.11822714999999562,0.11301460394383867,0.6147833232396945,0.418735318504704,-0.5013688655851177,-0.1414836239247201
2025-03-26 21:45:00,0.3140044999999958,0.5355585500000011,0.11822714999999562,0.10955768436912194,0.6192541019089234,0.4176719624264014,-0.5043282890638751,-0.14264795777778352
2025-03-26 22:00:00,0.30966250000000173,0.5355585500000011,0.11949554999999634,0.11167356143024065,0.6183427346426267,0.42017970576619246,-0.5009422036510685,-0.13799073476028145
2025-03-26 22:15:00,0.317419000000001,0.5367998499999977,0.1189973000000002,0.11167356143024065,0.6402433189282163,0.4255402476195948,-0.49612483579342165,-0.1364228604193953
2025-03-26 22:30:00,0.30966250000000173,0.5298519999999982,0.11822714999999562,0.11167356143024065,0.6283798253128211,0.4232132755553176,-0.5008214789191866,-0.13456901973612778
2025-03-26 22:45:00,0.3152915000000007,0.5101498500000012,0.11656739999999388,0.1150370322731149,0.6153171593016524,0.4378167761217121,-0.4808277974380646,-0.12645577451618603
2025-03-26 23:00:00,0.3291775000000001,0.5101498500000012,0.11630024999999478,0.11167356143024065,0.6252784327254106,0.4401459721123244,-0.4757364923852961,-0.13490901613304643
2025-03-26 23:15:00,0.32270549999999787,0.5101498500000012,0.11274739999999639,0.10925881939045112,0.6370593876943837,0.4457236761276757,-0.4858708441442461,-0.14304962991341597
2025-03-26 23:30:00,0.3152915000000007,0.5188916500000023,0.11440714999999813,0.10762853712840226,0.6074021403412396,0.45962410295427286,-0.4938312867167805,-0.1313649459837781
2025-03-26 23:45:00,0.3152915000000007,0.5101498500000012,0.11440714999999813,0.10818898737009164,0.6670158645023527,0.45011687001961853,-0.49462721822109323,-0.12835480511809058
2025-03-27 00:00:00,0.30966250000000173,0.5240846500000007,0.10952590000000129,0.1085857350661037,0.6629139221303757,0.46517960365925426,-0.5057677483315278,-0.16592839375156596
2025-03-27 00:15:00,0.3080125000000038,0.5240846500000007,0.11440714999999813,0.1085857350661037,0.6426541968317272,0.4655618271503363,-0.5001996122759944,-0.15450168144265267
2025-03-27 00:30:00,0.30818949999999745,0.5269466500000011,0.11550524999999823,0.11192566201971488,0.6246867774954814,0.4581077800155692,-0.499508334297693,-0.1640621463044501
2025-03-27 00:45:00,0.3080125000000038,0.5269466500000011,0.11384549999999649,0.11192566201971488,0.6326812697052008,0.45330949531638465,-0.50428655924756,-0.16125730418906306
2025-03-27 01:00:00,0.3080125000000038,0.5212156500000003,0.11274739999999639,0.1085857350661037,0.6402581174346842,0.45771110678167476,-0.5074946600071577,-0.1578904134086826
2025-03-27 01:15:00,0.3050150000000116,0.5240846500000007,0.10952590000000129,0.10799319189904466,0.6411223390397569,0.4558056314533752,-0.5092639128933499,-0.16237978718931287
2025-03-27 01:30:00,0.30559549999999547,0.5240846500000007,0.10952590000000129,0.10695545280405483,0.6456011215579633,0.4552729131145115,-0.5088514973253137,-0.16258416657236635
2025-03-27 01:45:00,0.3016349999999903,0.5240846500000007,0.10952590000000129,0.1063629096369958,0.6467050475176961,0.4594575919926155,-0.5087008865638732,-0.1490830275610762
2025-03-27 02:00:00,0.30111699999999075,0.5240846500000007,0.10753585000000143,0.10799319189904466,0.6452189246747808,0.40988183096002695,-0.5129242384844271,-0.18481084156246694
2025-03-27 02:15:00,0.3016349999999903,0.5298519999999982,0.10216185000000166,0.1063629096369958,0.6554959180994547,0.38766742960301376,-0.527231026033345,-0.21690862444629128
2025-03-27 02:30:00,0.3006965000000008,0.5269466500000011,0.1029650999999987,0.10695545280405483,0.6552266267271297,0.3745963707315365,-0.5218796533985108,-0.22156464007536178
2025-03-27 02:45:00,0.3006965000000008,0.5240776500000006,0.1029650999999987,0.1063629096369958,0.658607348652123,0.376155675669686,-0.5220195755178808,-0.21509850996295957
2025-03-27 03:00:00,0.3006965000000008,0.5269466500000011,0.1029650999999987,0.1047936801660505,0.6553193726681283,0.37734633030889403,-0.5222570041268975,-0.21183724030519913
2025-03-27 03:15:00,0.29895000000000493,0.5281879499999977,0.09968495000000033,0.1047936801660505,0.652926305982851,0.37299102404165607,-0.5253709805028048,-0.21411229514222813
2025-03-27 03:30:00,0.29174650000000213,0.5297054499999998,0.09968495000000033,0.1063629096369958,0.6463998807010273,0.3668756806450117,-0.5212973180045121,-0.2163313079422862
2025-03-27 03:45:00,0.2780374999999964,0.5297054499999998,0.10216185000000166,0.1063629096369958,0.650153698986957,0.3674679796146268,-0.5186873816872958,-0.21136900858568425
2025-03-27 04:00:00,0.28005999999999176,0.5264751999999984,0.1029650999999987,0.1047936801660505,0.6526398345835717,0.3676172124169368,-0.5305332214362413,-0.22057884465857255
2025-03-27 04:15:00,0.27808349999999393,0.5258917000000007,0.10575795000000454,0.1063629096369958,0.6552464418882936,0.36428862064796397,-0.5319699356890142,-0.21995561086867166
2025-03-27 04:30:00,0.2771394999999899,0.5223649000000012,0.10749565000000061,0.1078307938218579,0.6533478044975668,0.35780087137478506,-0.5293529905485278,-0.2265800583918813
2025-03-27 04:45:00,0.275392999999994,0.48791540000000033,0.10753585000000143,0.10535003741020077,0.6665863685208113,0.36054715809353277,-0.5295071542237579,-0.22086436785964703
2025-03-27 05:00:00,0.26768450000000144,0.4596857000000014,0.10952590000000129,0.10535003741020077,0.6399910664092687,0.3549775915417935,-0.5150844090775233,-0.18244003040490678
2025-03-27 05:15:00,0.2707035000000104,0.43918795000000266,0.1113726499999963,0.10535003741020077,0.6642676635111614,0.3602650928427019,-0.5130750277113915,-0.17805201835355075
2025-03-27 05:30:00,0.274840999999995,0.446220499999999,0.1113726499999963,0.102383138515453,0.6815372215975047,0.3867390406811211,-0.5045844257724031,-0.17018185374258024
2025-03-27 05:45:00,0.2734220000000107,0.46702625,0.11274739999999639,0.10937544341280159,0.7015944398845281,0.3865394277327704,-0.5020009471533023,-0.16983897060610528
2025-03-27 06:00:00,0.2877600000000058,0.491648399999999,0.1124707499999964,0.11008058644818419,0.7161747800989585,0.3902932871803782,-0.49501921209347194,-0.16125550779813763
2025-03-27 06:15:00,0.27921399999998187,0.491648399999999,0.11274739999999639,0.10535003741020077,0.7256110063040809,0.39126822504593844,-0.49929602357688246,-0.164235043673071
2025-03-27 06:30:00,0.27921399999998187,0.47755554999999994,0.1113726499999963,0.10324626798559677,0.7321765187214305,0.3912053482478142,-0.5006331970652211,-0.16454179820860126
2025-03-27 06:45:00,0.27921399999998187,0.4749099999999995,0.11384549999999649,0.10695545280405483,0.738495019325972,0.38556010525730045,-0.4987077538719725,-0.167540140857339
