,EE,EE_pred,resid,resid_pct
2025-04-05 19:30:00,44.30014,45.60935059107036,-1.3092105910703609,-2.8704872446192757
2025-04-05 19:45:00,44.5444145,45.74021927793544,-1.195804777935436,-2.614339845354171
2025-04-05 20:00:00,44.58245,45.634219628996284,-1.0517696289962828,-2.3047827650984556
2025-04-05 20:15:00,44.81404,45.65079199282973,-0.8367519928297327,-1.8329408019058233
2025-04-05 20:30:00,44.8228378,45.80166727632298,-0.9788294763229786,-2.1371044648171162
2025-04-05 20:45:00,44.4208565,45.81718823615393,-1.3963317361539325,-3.047615512669325
2025-04-05 21:00:00,45.3635521,45.88919307041895,-0.525640970418948,-1.1454569916109207
2025-04-05 21:15:00,44.4826775,45.833763679248406,-1.351086179248405,-2.9477967131469063
2025-04-05 21:30:00,44.6738052,45.76777614879675,-1.093970948796752,-2.390264594111184
2025-04-05 21:45:00,44.993885,45.63195041656891,-0.6380654165689137,-1.3982865311346253
2025-04-05 22:00:00,44.95993,45.785639845251694,-0.8257098452516942,-1.803425371016905
2025-04-05 22:15:00,44.8836,45.78731267164277,-0.9037126716427721,-1.9737185235648564
2025-04-05 22:30:00,44.1383476,45.30711250570446,-1.1687649057044567,-2.5796499513344657
2025-04-05 22:45:00,44.8392868,45.92278391502782,-1.0834971150278179,-2.35938900619057
2025-04-05 23:00:00,44.65621,45.496898188445265,-0.840688188445263,-1.847792315342435
2025-04-05 23:15:00,45.37663,45.742899959398024,-0.366269959398025,-0.8007143397623037
2025-04-05 23:30:00,44.7158,45.70443619589919,-0.9886361958991898,-2.163107737860892
2025-04-05 23:45:00,44.6964836,45.63148441974854,-0.935000819748538,-2.0490256489308627
2025-04-06 00:00:00,44.8664,45.691628625915186,-0.8252286259151873,-1.8060827568031523
2025-04-06 00:15:00,44.6477165,45.62353880954854,-0.9758223095485405,-2.1388571229032127
2025-04-06 00:30:00,44.2597771,45.41569609538082,-1.1559189953808158,-2.545197133945026
2025-04-06 00:45:00,44.37528,45.50513913164385,-1.1298591316438547,-2.4829264412866308
2025-04-06 01:00:00,43.9885368,45.29599351487244,-1.307456714872444,-2.8864732030729274
2025-04-06 01:15:00,44.2874565,45.55586944102745,-1.2684129410274494,-2.784301905749869
2025-04-06 01:30:00,44.9362831,45.6544947244599,-0.7182116244599044,-1.5731454893862062
2025-04-06 01:45:00,44.1986847,45.79788265413853,-1.599197954138532,-3.4918600194151557
2025-04-06 03:00:00,45.4435,45.7422832418597,-0.2987832418597023,-0.6531882990621675
2025-04-06 03:15:00,44.92107,45.747507942709284,-0.8264379427092834,-1.8065201360132048
2025-04-06 03:30:00,45.07625,45.697883898967945,-0.6216338989679429,-1.3603122200194089
2025-04-06 03:45:00,44.696907,45.67868288236002,-0.9817758823600187,-2.1493086499198433
2025-04-06 04:00:00,45.5545158,45.61330068722228,-0.0587848872222807,-0.12887663540373476
