,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1,Admission_HP_GTA_JFC2,Soutirage_BP_GTA_JFC2,Prod_EE_GTA_JFC2,Admission_HP_GTA_JFC3,Soutirage_MP_GTA_JFC3,Soutirage_BP_GTA_JFC3,Prod_EE_GTA_JFC3,Admission_HP_GTA_JFC4,Soutirage_BP_GTA_JFC4,Prod_EE_GTA_JFC4
58,2025-01-01 15:30:00,186.588547,50.010437,,183.653488,10.92146,41.9036446,180.557709,8.939619e-17,45.7452278,35.7104568,190.504868,120.33197,41.7940063
59,2025-01-01 15:45:00,184.664291,49.3341446,,183.332123,11.054882,41.67722,180.719421,8.939619e-17,45.4934731,35.7143173,189.04509,119.828468,41.8661842
60,2025-01-01 16:00:00,183.489532,48.9921,,183.48317,14.4194231,41.4504967,179.386917,8.939619e-17,45.311573,35.4573,188.717667,117.22525,41.69167
61,2025-01-01 16:15:00,185.196869,49.8876266,,183.2895,16.16162,41.3607979,179.374985,8.939619e-17,46.29205,35.34577,188.427429,117.1258,41.7445526
62,2025-01-01 16:30:00,183.735046,48.8722458,,183.186813,15.718359,41.3045769,180.3475,8.939619e-17,46.16868,35.46504,188.43309,116.161362,42.13828
63,2025-01-01 16:45:00,183.826248,48.5576668,,183.2861,12.5586929,41.626133,180.602509,8.939619e-17,45.02045,35.5784454,189.9525,117.337364,42.0409355
64,2025-01-01 17:00:00,185.178192,49.0097427,,183.617416,11.4695606,41.5379639,181.710754,8.939619e-17,44.75679,35.9905624,189.289383,113.621025,42.1130447
65,2025-01-01 17:15:00,187.798523,49.7258072,,183.544891,10.8333616,41.8652229,181.712433,8.939619e-17,44.4491272,35.9364357,189.1052,112.2755,42.0244331
66,2025-01-01 17:30:00,188.54953,49.8758774,,184.596725,11.9290171,41.7945251,181.053314,8.939619e-17,44.4704933,35.93672,189.442154,110.880783,41.96604
67,2025-01-01 17:45:00,187.0171,49.5141258,,185.2267,11.521719,41.93246,180.340652,8.939619e-17,43.7209167,35.8940735,189.430161,110.105675,41.87311
68,2025-01-01 18:00:00,185.564972,48.15459,,185.392,13.7295551,41.8145256,181.02562,8.939619e-17,45.5160675,35.78953,189.849915,108.942368,41.8917961
69,2025-01-01 18:15:00,185.156281,48.0009155,,184.7861,16.2870274,41.61643,180.7078,8.939619e-17,45.0282249,35.72502,188.395737,107.876434,41.8816452
70,2025-01-01 18:30:00,186.628952,48.59923,,184.610245,14.9644508,41.872406,181.532013,8.939619e-17,46.4586,35.91953,189.413055,108.043495,41.8825836
71,2025-01-01 18:45:00,187.199158,49.1587677,,184.817413,10.8689032,41.86906,178.885056,8.939619e-17,40.831707,36.0352554,189.630371,109.023781,41.9557152
72,2025-01-01 19:00:00,187.146057,48.9755554,,184.981735,9.682422,41.7835159,180.052063,8.939619e-17,40.2525177,36.45473,189.028839,109.305977,41.8991623
73,2025-01-01 19:15:00,185.902161,48.146492,,184.949692,8.029691,41.95326,181.944016,8.939619e-17,41.12731,36.8668175,189.361954,107.662117,41.7936745
74,2025-01-01 19:30:00,186.293427,48.63826,,185.031311,18.8794823,41.3450775,180.539,8.939619e-17,39.84496,36.5846062,189.044113,108.033005,41.716156
75,2025-01-01 19:45:00,184.859619,48.0683327,,185.010162,21.6372681,41.23938,180.51944,8.939619e-17,39.15303,36.4512634,188.142532,107.614563,41.8110237
76,2025-01-01 20:00:00,186.817535,28.4256783,,184.989014,24.3950558,41.1336823,184.125732,8.939619e-17,40.6529655,37.02499,189.007889,108.4014,41.8322
77,2025-01-01 20:15:00,185.122009,30.4104023,,184.967865,27.1528416,41.0279846,186.5727,8.939619e-17,52.1539841,36.8364868,190.237167,108.8224,41.96566
