,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1
23545,2025-09-03 08:15:00,163.223709,36.6475563,37.0957527
23546,2025-09-03 08:30:00,162.047226,34.8445778,36.863266
23547,2025-09-03 08:45:00,164.159424,34.8333969,37.204792
23548,2025-09-03 09:00:00,161.831573,31.0666962,37.4674072
23549,2025-09-03 09:15:00,162.147614,27.1602535,37.3149948
23550,2025-09-03 09:30:00,161.576645,27.7310238,37.2807159
23551,2025-09-03 09:45:00,175.29126,42.35942,39.5077438
23552,2025-09-03 10:00:00,174.8048,36.32869,39.7050171
23553,2025-09-03 10:15:00,181.269211,42.3669968,40.8064537
23554,2025-09-03 10:30:00,176.23703,42.4539146,39.43767
23555,2025-09-03 10:45:00,155.752167,35.211132,34.73869
23556,2025-09-03 11:00:00,156.922134,35.241684,35.384
23557,2025-09-03 11:15:00,160.9008,38.83351,35.5422173
23558,2025-09-03 11:30:00,170.300873,41.29245,37.3565063
23559,2025-09-03 11:45:00,175.857285,38.69255,39.7185822
23560,2025-09-03 12:00:00,178.374,42.8440781,39.7406731
23561,2025-09-03 12:15:00,176.755676,40.7052,39.6727753
23562,2025-09-03 12:30:00,178.149185,45.6417847,39.2327423
23563,2025-09-03 12:45:00,178.416168,46.84561,39.4129562
23564,2025-09-03 13:00:00,181.5153,43.6654243,40.5457954
23565,2025-09-03 13:15:00,183.848083,47.053257,40.9837379
23566,2025-09-03 13:30:00,186.464523,48.89952,41.2568359
23567,2025-09-03 13:45:00,187.296829,48.1424561,41.75529
23568,2025-09-03 14:00:00,186.4385,48.3979454,41.45581
23569,2025-09-03 14:15:00,187.248749,47.89429,41.50568
23570,2025-09-03 14:30:00,186.705765,48.38218,41.4682541
23571,2025-09-03 14:45:00,186.057266,47.52302,41.3722839
23572,2025-09-03 15:00:00,187.181061,48.30358,41.6412468
23573,2025-09-03 15:15:00,186.407974,47.2331848,41.4163971
23574,2025-09-03 15:30:00,186.645355,47.14904,41.7021179
23575,2025-09-03 15:45:00,186.271423,51.8994942,40.801403
23576,2025-09-03 16:00:00,187.900711,5.636528,43.98829
23577,2025-09-03 16:15:00,168.3809,0.281619161,40.5044327
23578,2025-09-03 16:30:00,184.885452,18.2512245,43.3911
23579,2025-09-03 16:45:00,187.831726,28.2453251,42.9861069
23580,2025-09-03 17:00:00,160.376587,32.4703865,36.1107368
23581,2025-09-03 17:15:00,162.0496,34.0959969,36.7354355
23582,2025-09-03 17:30:00,160.131241,33.5815,36.17832
23583,2025-09-03 17:45:00,160.303833,33.26936,36.73322
23584,2025-09-03 18:00:00,165.214218,37.0390968,37.1710052
23585,2025-09-03 18:15:00,162.506134,35.19953,36.7960739
23586,2025-09-03 18:30:00,164.9736,36.5993233,37.4639969
23587,2025-09-03 18:45:00,163.688629,34.86222,37.4304581
23588,2025-09-03 19:00:00,165.257034,36.9339867,37.4655151
23589,2025-09-03 19:15:00,168.287247,38.6734123,37.9973335
23590,2025-09-03 19:30:00,163.237885,36.4813728,37.1546555
23591,2025-09-03 19:45:00,158.754211,33.8938332,36.4795532
23592,2025-09-03 20:00:00,168.6148,38.0990524,38.1210632
23593,2025-09-03 20:15:00,167.1773,38.3819962,37.22852
23594,2025-09-03 20:30:00,157.398132,32.23488,35.5683441
23595,2025-09-03 20:45:00,187.955536,39.65173,41.7911873
23596,2025-09-03 21:00:00,188.167984,40.8818,42.20325
23597,2025-09-03 21:15:00,187.130478,37.66012,42.4681473
23598,2025-09-03 21:30:00,188.05069,40.3826447,42.2063141
23599,2025-09-03 21:45:00,187.8379,39.491024,41.73934
23600,2025-09-03 22:00:00,187.734772,38.4562759,42.3069267
